raw_name,canonical_name
промо кедр,promo kedr
promo ked,promo kedr
РотФронт,rotfront
RotFront,rotfront
гематоген,hematogen
наурыз,nauryz
пахта,pachta
плов,plov
марафон продукты,marathon products
marathon lebenshtel,marathon products
8 марта,8 march
8 marta,8 march
колбаса,wurst
ювелирка,schmuck
Сырки Лакман,sirki lackmann
Sirki Lackmann,sirki lackmann
здоровье,health
икра,kaviar
кофеты,candy
крупа,getreide
Getreide,getreide
мангал,mangal
марафон,marathon
марафон финал,marathon final
пасха,oster
пельмени,pelmeni
промо батончик,promo batonchik
промо гречка,promo grechka
промо пчелка,promo bee
промо рошен,promo roshen
пчак,pchak
распродажа,sale
сало,speck
тульский,tulskij
Tulskij,tulskij
флинт,flint
"шампура, шумовки",spiesse
Пастила,pastila
Pastila,pastila
казахстан,kazahstan
ермак,ermak
Бери больше 30%,sale 30%
